account_id,match_id,assists,deaths,denies,gold_per_min,gold_spent,hero_damage,hero_healing,hero_id,kills,last_hits,leaver_status,level,player_slot,stuns,unit_order_buyback,unit_order_move_to_position,unit_order_purchase_item,won,xp_per_min
0,0,18,3,1,347,10960,8690,218,86,9,30,0,16,0,76.7356,,4070,35,TRUE,362
1,0,18,3,9,494,17760,23747,0,51,13,109,0,22,1,87.4164,,5894,30,TRUE,659
0,0,15,4,1,350,12195,4217,1595,83,0,58,0,17,2,0,1,7053,28,TRUE,385
2,0,19,4,6,599,22505,14832,2714,11,8,271,0,21,3,0,,4712,45,TRUE,605
3,0,17,3,13,613,23825,33740,243,67,20,245,0,24,4,0,1,3853,44,TRUE,762
4,0,8,6,5,397,12285,10725,0,106,5,162,0,19,128,0,2,6593,36,FALSE,524
0,0,5,13,2,303,10355,15028,764,102,4,107,0,16,129,0,,3325,43,FALSE,369
5,0,6,8,31,452,13395,10230,0,46,4,208,0,19,130,0,,13557,30,FALSE,517
0,0,8,14,0,189,5035,4774,0,7,1,27,0,12,131,67.0277,1,2217,38,FALSE,223
6,0,6,11,0,496,17550,6398,292,73,1,147,0,18,132,60.9748,1,3801,33,FALSE,456
0,1,9,4,0,218,12160,4075,0,7,3,36,0,12,0,37.9243,,1524,52,FALSE,206
7,1,8,10,9,581,19625,13888,0,82,9,343,0,25,1,0,1,3066,18,FALSE,756
0,1,11,13,3,339,10220,7788,0,71,5,76,0,16,2,99.9916,1,1996,22,FALSE,352
8,1,9,15,8,460,14395,19920,0,39,12,169,0,21,3,30.2234,1,4214,49,FALSE,544
4,1,12,11,7,365,12910,12913,0,21,6,131,0,18,4,47.5044,,5264,33,FALSE,436
9,1,24,12,2,600,20275,14130,0,73,2,220,0,20,128,86.2695,1,4298,28,TRUE,509
0,1,17,5,0,487,21840,19218,0,22,8,193,0,20,129,1.00076,,4296,35,TRUE,517
0,1,9,8,0,488,19165,11398,0,5,14,101,0,21,130,2.20195,1,5234,52,TRUE,583
5,1,21,5,11,631,24165,28505,0,67,16,226,0,25,131,0,,14268,43,TRUE,755
0,1,12,7,3,585,22305,20065,0,106,10,250,0,25,132,0,,5401,36,TRUE,753
10,2,7,13,3,237,7990,15638,0,51,5,97,0,14,0,66.2857,,5054,30,FALSE,249
11,2,5,11,1,322,12515,7989,16,109,6,179,0,17,1,0,,4659,31,FALSE,358
12,2,8,6,3,355,13845,14295,0,9,10,154,0,19,2,70.0816,,4394,33,FALSE,425
13,2,4,9,3,328,13260,3159,0,41,0,154,0,17,3,14.0544,,6297,18,FALSE,345
0,2,7,10,0,189,7380,4962,0,27,1,41,0,13,4,33.0944,,4155,33,FALSE,229
0,2,18,7,4,450,20500,14580,706,38,13,163,0,22,128,32.4821,,6653,61,TRUE,567
0,2,28,6,2,376,15760,13796,0,7,5,78,0,20,129,76.0841,,5532,51,TRUE,461
0,2,14,2,5,493,20735,15755,0,10,17,170,0,21,130,18.3364,,5994,29,TRUE,535
0,2,13,2,2,389,13990,12177,467,12,7,111,0,19,131,0,,3542,40,TRUE,454
0,2,17,5,3,313,10635,4950,572,85,6,51,0,17,132,0,,4567,27,TRUE,363
14,3,21,13,8,290,9690,7691,10814,50,4,47,0,19,0,3.01025,1,2747,49,FALSE,378
0,3,22,13,4,498,18550,27738,0,44,24,170,0,24,1,0.367783,3,2455,38,FALSE,619
0,3,18,11,5,454,17825,23279,0,32,17,144,0,25,2,11.8412,1,3374,35,FALSE,635
15,3,21,17,2,286,11565,8725,0,26,2,71,0,18,3,84.1923,,3761,33,FALSE,351
16,3,10,12,13,453,19055,19082,0,39,17,148,0,24,4,0,,5993,33,FALSE,620
17,3,20,8,3,459,20350,19952,0,78,13,128,0,25,128,28.7416,1,4926,32,TRUE,632
0,3,19,11,9,523,24295,32146,0,19,18,183,0,25,129,77.1635,1,4580,32,TRUE,630
18,3,24,16,3,323,13280,13820,1046,31,7,44,0,20,130,0.800977,1,4382,54,TRUE,436
19,3,28,19,0,331,13000,13472,0,40,5,105,0,17,131,0,,3107,35,TRUE,302
20,3,19,11,14,500,23505,27992,0,47,20,166,0,25,132,0,1,4677,52,TRUE,631
0,4,10,2,14,732,18605,11050,0,8,8,268,0,20,0,0,,2175,30,TRUE,683
21,4,9,4,5,707,19675,24979,0,39,18,139,0,20,1,0.100312,,3494,42,TRUE,694
22,4,13,3,0,424,14025,6395,0,55,1,114,0,14,2,4.13965,,3864,40,TRUE,372
23,4,15,4,7,348,9225,5420,0,87,1,27,0,13,3,0,,2153,33,TRUE,309
24,4,12,3,0,624,17450,9916,2328,69,9,120,0,18,4,0.366836,,2556,36,TRUE,541
25,4,5,7,2,308,7770,5813,446,101,4,9,0,13,128,0,1,3587,32,FALSE,309
26,4,5,9,0,235,5560,7399,0,100,3,41,0,11,129,32.3754,1,2993,27,FALSE,205
0,4,6,5,0,271,7770,16016,0,22,4,61,0,13,130,2.00098,,5209,28,FALSE,313
5,4,6,5,15,418,10965,13006,0,67,4,159,0,16,131,0,1,12649,23,FALSE,467
27,4,8,11,4,289,6915,7830,0,21,1,99,0,12,132,24.155,1,3140,25,FALSE,272
